filename,filepath,name,label_idx,split
102948-0.wav,/content/wavfiles/102948-0.wav,Song Sparrow,4,train
102948-1.wav,/content/wavfiles/102948-1.wav,Song Sparrow,4,train
102948-2.wav,/content/wavfiles/102948-2.wav,Song Sparrow,4,train
102948-4.wav,/content/wavfiles/102948-4.wav,Song Sparrow,4,train
102948-5.wav,/content/wavfiles/102948-5.wav,Song Sparrow,4,train
102948-6.wav,/content/wavfiles/102948-6.wav,Song Sparrow,4,train
102948-7.wav,/content/wavfiles/102948-7.wav,Song Sparrow,4,train
102948-8.wav,/content/wavfiles/102948-8.wav,Song Sparrow,4,train
102948-9.wav,/content/wavfiles/102948-9.wav,Song Sparrow,4,train
103059-0.wav,/content/wavfiles/103059-0.wav,American Robin,0,train
103059-1.wav,/content/wavfiles/103059-1.wav,American Robin,0,train
103059-10.wav,/content/wavfiles/103059-10.wav,American Robin,0,train
103059-11.wav,/content/wavfiles/103059-11.wav,American Robin,0,train
103059-12.wav,/content/wavfiles/103059-12.wav,American Robin,0,train
103059-13.wav,/content/wavfiles/103059-13.wav,American Robin,0,train
103059-14.wav,/content/wavfiles/103059-14.wav,American Robin,0,train
103059-15.wav,/content/wavfiles/103059-15.wav,American Robin,0,train
103059-2.wav,/content/wavfiles/103059-2.wav,American Robin,0,train
103059-3.wav,/content/wavfiles/103059-3.wav,American Robin,0,train
103059-4.wav,/content/wavfiles/103059-4.wav,American Robin,0,train
103059-5.wav,/content/wavfiles/103059-5.wav,American Robin,0,train
103059-6.wav,/content/wavfiles/103059-6.wav,American Robin,0,train
103059-7.wav,/content/wavfiles/103059-7.wav,American Robin,0,train
103059-8.wav,/content/wavfiles/103059-8.wav,American Robin,0,train
103059-9.wav,/content/wavfiles/103059-9.wav,American Robin,0,train
103339-0.wav,/content/wavfiles/103339-0.wav,Song Sparrow,4,train
103339-1.wav,/content/wavfiles/103339-1.wav,Song Sparrow,4,train
103339-2.wav,/content/wavfiles/103339-2.wav,Song Sparrow,4,train
103339-5.wav,/content/wavfiles/103339-5.wav,Song Sparrow,4,train
103339-6.wav,/content/wavfiles/103339-6.wav,Song Sparrow,4,train
103339-7.wav,/content/wavfiles/103339-7.wav,Song Sparrow,4,train
